criterion_id;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
55;1.0;1.0;0.3;0.85;1.0;1.0;1.0;0.25;0.8;0.2
56;0.6;0.2;0.5;0.35;0.11;0.6;0.07;0.0;0.8;0.0
57;0.8;1.0;0.3;0.85;0.36;1.0;0.36;0.25;0.8;0.2
58;1.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
59;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
60;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
61;1.0;1.0;0.4;0.8;1.0;1.0;1.0;0.04;1.0;0.04
62;0.6;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
63;0.6;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
64;0.6;1.0;0.1;0.95;0.04;1.0;0.04;1.0;0.8;0.8
65;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
66;1.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
67;1.0;0.2;0.0;0.6;1.0;1.0;1.0;1.0;1.0;1.0
68;0.8;0.6;1.0;0.3;0.36;1.0;0.36;1.0;1.0;1.0
69;0.7;1.0;0.2;0.9;0.25;0.8;0.2;1.0;0.6;0.6
70;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
71;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
72;0.7;1.0;0.8;0.6;0.25;0.8;0.2;0.36;1.0;0.36
73;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
74;0.8;1.0;1.0;0.5;0.36;1.0;0.36;1.0;1.0;1.0
75;0.5;1.0;1.0;0.5;0.0;0.8;0.0;1.0;1.0;1.0
